window_idx,elapsed_s,rss_mb,heap_used_mb,heap_total_mb,event_count,sse_sessions,broker_sessions,req_count,err_count
0,60,102,38,41,7,0,0,641,0
1,120,104,40,41,11,0,0,1281,0
2,180,104,40,42,15,0,0,1922,0
3,240,104,41,42,19,0,0,2562,0
4,300,105,41,43,23,0,0,3200,0
5,360,106,42,43,27,0,0,3839,0
6,420,106,42,44,31,0,0,4478,0
7,480,106,39,44,35,0,0,5119,0
8,540,106,39,44,39,0,0,5758,0
9,600,106,40,44,43,0,0,6399,0
10,660,107,41,44,47,0,0,7037,0
11,720,107,41,44,51,0,0,7676,0
12,780,107,41,44,55,0,0,8316,0
13,840,107,42,44,59,0,0,8956,0
14,900,107,42,44,63,0,0,9596,0
15,960,107,42,44,67,0,0,10236,0
16,1020,107,42,45,71,0,0,10875,0
17,1080,108,43,45,75,0,0,11518,0
18,1140,108,43,45,79,0,0,12159,0
19,1200,108,43,46,83,0,0,12800,0
20,1260,108,44,46,87,0,0,13439,0
21,1320,109,45,46,91,0,0,14078,0
22,1380,109,44,47,95,0,0,14719,0
23,1440,108,39,47,99,0,0,15358,0
24,1500,108,40,47,103,0,0,15998,0
25,1560,108,40,47,107,0,0,16638,0
26,1620,108,41,47,111,0,0,17277,0
27,1680,108,41,47,115,0,0,17917,0
28,1740,108,41,47,119,0,0,18558,0
29,1800,108,42,47,123,0,0,19198,0
30,1860,108,42,47,127,0,0,19838,0
31,1920,109,42,47,131,0,0,20479,0
32,1980,109,42,47,135,0,0,21122,0
33,2040,109,43,47,139,0,0,21764,0
34,2100,109,43,47,143,0,0,22406,0
35,2160,109,44,47,147,0,0,23046,0
36,2220,109,44,48,151,0,0,23688,0
37,2280,110,45,47,155,0,0,24328,0
38,2340,110,45,47,159,0,0,24966,0
39,2400,110,39,48,163,0,0,25609,0
40,2460,101,39,47,167,0,0,26248,0
41,2520,102,40,49,171,0,0,26890,0
42,2580,103,41,49,175,0,0,27531,0
43,2640,103,42,49,179,0,0,28172,0
44,2700,103,43,49,183,0,0,28813,0
45,2760,100,43,50,187,0,0,29453,0
46,2820,100,43,49,191,0,0,30094,0
47,2880,100,43,50,195,0,0,30735,0
48,2940,100,44,49,199,0,0,31376,0
49,3000,99,37,47,203,0,0,32014,0
50,3060,98,38,46,207,0,0,32656,0
51,3120,98,39,47,211,0,0,33295,0
52,3180,98,39,46,215,0,0,33937,0
53,3240,99,40,47,219,0,0,34578,0
54,3300,98,39,47,223,0,0,35218,0
55,3360,99,40,48,227,0,0,35860,0
56,3420,97,41,47,231,0,0,36499,0
57,3480,97,41,47,235,0,0,37140,0
58,3540,97,41,47,239,0,0,37781,0
59,3600,98,41,47,244,0,0,38420,0
60,3660,98,42,47,248,0,0,39061,0
61,3720,98,43,47,252,0,0,39701,0
62,3780,98,43,47,256,0,0,40341,0
63,3840,97,38,47,260,0,0,40982,0
64,3900,97,38,47,264,0,0,41622,0
65,3960,97,38,47,268,0,0,42263,0
66,4020,97,39,47,272,0,0,42904,0
67,4080,98,40,47,276,0,0,43543,0
68,4140,98,39,47,280,0,0,44184,0
69,4200,98,40,47,284,0,0,44826,0
70,4260,98,41,47,288,0,0,45466,0
71,4320,98,41,47,292,0,0,46106,0
72,4380,98,42,48,296,0,0,46747,0
73,4440,98,41,47,300,0,0,47387,0
74,4500,98,42,47,304,0,0,48027,0
75,4560,98,42,47,308,0,0,48667,0
76,4620,98,42,47,312,0,0,49307,0
77,4680,98,38,47,316,0,0,49948,0
78,4740,97,38,48,320,0,0,50591,0
79,4800,98,39,47,324,0,0,51230,0
80,4860,98,39,47,328,0,0,51871,0
81,4920,98,40,47,332,0,0,52512,0
82,4980,99,41,49,336,0,0,53153,0
83,5040,99,41,48,340,0,0,53793,0
84,5100,100,42,50,344,0,0,54433,0
85,5160,100,43,49,348,0,0,55072,0
86,5220,100,44,50,352,0,0,55713,0
87,5280,100,44,49,356,0,0,56354,0
88,5340,99,38,48,360,0,0,56993,0
89,5400,98,38,47,364,0,0,57634,0
